municipio,uf,pib_total_mil,populacao,pib_per_capita
Santa Isabel do Ivaí,PR,293692,,
Santa Izabel do Oeste,PR,514079,,
Santa Lúcia,PR,158188,,
Santa Maria do Oeste,PR,353046,,
Santa Mariana,PR,497961,,
Santa Mônica,PR,115471,,
Santana do Itararé,PR,184042,,
Santa Tereza do Oeste,PR,713315,,
Santa Terezinha de Itaipu,PR,765144,,
Santo Antônio da Platina,PR,1837884,,
Santo Antônio do Caiuá,PR,70027,,
Santo Antônio do Paraíso,PR,114799,,
Santo Antônio do Sudoeste,PR,804866,,
Santo Inácio,PR,836727,,
São Carlos do Ivaí,PR,567836,,
São Jerônimo da Serra,PR,349306,,
São João,PR,1220178,,
São João do Caiuá,PR,191656,,
São João do Ivaí,PR,410617,,
São João do Triunfo,PR,875907,,
São Jorge d'Oeste,PR,531521,,
São Jorge do Ivaí,PR,417316,,
São Jorge do Patrocínio,PR,183232,,
São José da Boa Vista,PR,232641,,
São José das Palmeiras,PR,109674,,
São José dos Pinhais,PR,33957964,,
São Manoel do Paraná,PR,83030,,
São Mateus do Sul,PR,1934142,,
São Miguel do Iguaçu,PR,1484412,,
São Pedro do Iguaçu,PR,267877,,
São Pedro do Ivaí,PR,453058,,
São Pedro do Paraná,PR,111291,,
São Sebastião da Amoreira,PR,277569,,
São Tomé,PR,221194,,
Sapopema,PR,183023,,
Sarandi,PR,2398690,,
Saudade do Iguaçu,PR,1143427,,
Sengés,PR,690924,,
Serranópolis do Iguaçu,PR,272573,,
Sertaneja,PR,465712,,
Sertanópolis,PR,863931,,
Siqueira Campos,PR,851121,,
Sulina,PR,190979,,
Tamarana,PR,474596,,
Tamboara,PR,184145,,
Tapejara,PR,731143,,
Tapira,PR,187714,,
Teixeira Soares,PR,633083,,
Telêmaco Borba,PR,6409425,,
Terra Boa,PR,709922,,
Terra Rica,PR,539546,,
Terra Roxa,PR,921400,,
Tibagi,PR,1448624,,
Tijucas do Sul,PR,554175,,
Toledo,PR,9508572,,
Tomazina,PR,350465,,
Três Barras do Paraná,PR,453550,,
Tunas do Paraná,PR,142467,,
Tuneiras do Oeste,PR,297521,,
Tupãssi,PR,520417,,
Turvo,PR,697870,,
Ubiratã,PR,2129922,,
Umuarama,PR,5096996,,
União da Vitória,PR,2223373,,
Uniflor,PR,131665,,
Uraí,PR,395053,,
Wenceslau Braz,PR,767256,,
Ventania,PR,378784,,
Vera Cruz do Oeste,PR,335607,,
Verê,PR,606828,,
Alto Paraíso,PR,147760,,
Doutor Ulysses,PR,116147,,
Virmond,PR,241579,,
Vitorino,PR,631025,,
Xambrê,PR,138498,,
Água Clara,MS,1544633,,
Alcinópolis,MS,384368,,
Amambai,MS,2426261,,
Anastácio,MS,783841,,
Anaurilândia,MS,623710,,
Angélica,MS,1243471,,
Antônio João,MS,851781,,
Aparecida do Taboado,MS,2189222,,
Aquidauana,MS,1437451,,
Aral Moreira,MS,1348752,,
Bandeirantes,MS,1001346,,
Bataguassu,MS,1841917,,
Batayporã,MS,784829,,
Bela Vista,MS,1176300,,
Bodoquena,MS,386420,,
Bonito,MS,1586577,,
Brasilândia,MS,1159417,,
Caarapó,MS,2553085,,
Camapuã,MS,872276,,
Campo Grande,MS,42269768,,
Caracol,MS,251148,,
Cassilândia,MS,1059973,,
Chapadão do Sul,MS,3329527,,
Corguinho,MS,172551,,
Coronel Sapucaia,MS,388241,,
Corumbá,MS,4187429,,
Costa Rica,MS,3341491,,
Coxim,MS,1400833,,
Deodápolis,MS,712633,,
Dois Irmãos do Buriti,MS,456777,,
Douradina,MS,259999,,
Dourados,MS,20257953,,
Eldorado,MS,704592,,
Fátima do Sul,MS,769333,,
Figueirão,MS,186835,,
Glória de Dourados,MS,449930,,
Guia Lopes da Laguna,MS,477600,,
Iguatemi,MS,962593,,
Inocência,MS,946307,,
Itaporã,MS,1525654,,
Itaquiraí,MS,1546553,,
Ivinhema,MS,2005469,,
Japorã,MS,242175,,
Jaraguari,MS,717701,,
Jardim,MS,1130237,,
Jateí,MS,729978,,
Juti,MS,517930,,
Ladário,MS,420685,,
Laguna Carapã,MS,1257650,,
Maracaju,MS,5921262,,
Miranda,MS,782435,,
Mundo Novo,MS,1018195,,
Naviraí,MS,3670207,,
Nioaque,MS,618784,,
Nova Alvorada do Sul,MS,2592615,,
Nova Andradina,MS,3568745,,
Novo Horizonte do Sul,MS,450886,,
Paraíso das Águas,MS,1389706,,
Paranaíba,MS,2012106,,
Paranhos,MS,371183,,
Pedro Gomes,MS,460934,,
Ponta Porã,MS,6069790,,
Porto Murtinho,MS,571511,,
Ribas do Rio Pardo,MS,3353286,,
Rio Brilhante,MS,3833911,,
Rio Negro,MS,170386,,
Rio Verde de Mato Grosso,MS,926597,,
Rochedo,MS,352337,,
Santa Rita do Pardo,MS,642967,,
São Gabriel do Oeste,MS,2883850,,
Sete Quedas,MS,493949,,
Selvíria,MS,2691218,,
Sidrolândia,MS,4102346,,
Sonora,MS,1489093,,
Tacuru,MS,378151,,
Taquarussu,MS,215369,,
Terenos,MS,1348544,,
Três Lagoas,MS,14761816,,
Vicentina,MS,384734,,
Noroeste Fluminense,RJ,11489280,,
Norte Fluminense,RJ,89414188,,
Centro Fluminense,RJ,22679627,,
Baixadas,RJ,128019509,,
Sul Fluminense,RJ,75049148,,
Metropolitana do Rio de Janeiro,RJ,846219691,,
São José do Rio Preto,SP,91674859,,
Ribeirão Preto,SP,156879857,,
Araçatuba,SP,38541098,,
Bauru,SP,91035301,,
Araraquara,SP,58447916,,
Piracicaba,SP,124735130,,
Campinas,SP,388180026,,
Presidente Prudente,SP,39515367,,
Marília,SP,25726267,,
Assis,SP,32986680,,
Itapetininga,SP,44019380,,
Macro Metropolitana Paulista,SP,274198342,,
Vale do Paraíba Paulista,SP,193579157,,
Litoral Sul Paulista,SP,20908089,,
Metropolitana de São Paulo,SP,1864386564,,
Noroeste Paranaense,PR,33310258,,
Centro Ocidental Paranaense,PR,19131784,,
Norte Central Paranaense,PR,118420224,,
Norte Pioneiro Paranaense,PR,23187041,,
Centro Oriental Paranaense,PR,53052324,,
Oeste Paranaense,PR,83510059,,
Sudoeste Paranaense,PR,31961541,,
Centro-Sul Paranaense,PR,27868915,,
Sudeste Paranaense,PR,19611208,,
Metropolitana de Curitiba,PR,260865808,,
Pantanais Sul Mato-grossense,MS,8640129,,
Centro Norte de Mato Grosso do Sul,MS,58739765,,
Leste de Mato Grosso do Sul,MS,45456240,,
Sudoeste de Mato Grosso do Sul,MS,71565985,,
Itaperuna,RJ,7290948,,
Santo Antônio de Pádua,RJ,4198332,,
Campos dos Goytacazes,RJ,59800051,,
Macaé,RJ,29614137,,
Três Rios,RJ,9875149,,
Cantagalo-Cordeiro,RJ,2560321,,
Nova Friburgo,RJ,9405775,,
Santa Maria Madalena,RJ,838382,,
Bacia de São João,RJ,14669049,,
Lagos,RJ,113350460,,
Vale do Paraíba Fluminense,RJ,50155350,,
Barra do Piraí,RJ,6668907,,
Baía da Ilha Grande,RJ,18224891,,
Vassouras,RJ,5033508,,
Serrana,RJ,27953526,,
Macacu-Caceribu,RJ,3740868,,
Itaguaí,RJ,18587698,,
Rio de Janeiro,RJ,790904092,,
Jales,SP,7569463,,
Fernandópolis,SP,5922764,,
Votuporanga,SP,7428818,,
São José do Rio Preto,SP,49377027,,
Catanduva,SP,11752057,,
Auriflama,SP,1545636,,
Nhandeara,SP,3127432,,
Novo Horizonte,SP,4951664,,
Barretos,SP,9511424,,
São Joaquim da Barra,SP,14910592,,
Ituverava,SP,5020209,,
Franca,SP,19755308,,
Jaboticabal,SP,22246901,,
Ribeirão Preto,SP,79345946,,
Batatais,SP,6089479,,
Andradina,SP,11930412,,
Araçatuba,SP,15622367,,
Birigui,SP,10988320,,
Lins,SP,14334208,,
Bauru,SP,35589565,,
Jaú,SP,19650433,,
Avaré,SP,9634424,,
Botucatu,SP,11826670,,
Araraquara,SP,34021189,,
São Carlos,SP,24426727,,
Rio Claro,SP,20343825,,
Limeira,SP,47272428,,
Piracicaba,SP,57118877,,
Pirassununga,SP,9936590,,
São João da Boa Vista,SP,21211051,,
Mogi Mirim,SP,29548855,,
Campinas,SP,316235802,,
Amparo,SP,11247729,,
Dracena,SP,4539507,,
Adamantina,SP,6920689,,
Presidente Prudente,SP,28055171,,
Tupã,SP,7253553,,
Marília,SP,18472714,,
Assis,SP,17381683,,
Ourinhos,SP,15604997,,
Itapeva,SP,10755030,,
Itapetininga,SP,10497166,,
Tatuí,SP,18028565,,
Capão Bonito,SP,4738618,,
Piedade,SP,7747628,,
Sorocaba,SP,124049344,,
Jundiaí,SP,104072247,,
Bragança Paulista,SP,38329124,,
Campos do Jordão,SP,2607206,,
São José dos Campos,SP,125688763,,
Guaratinguetá,SP,21175954,,
Bananal,SP,607541,,
Paraibuna/Paraitinga,SP,1938625,,
Caraguatatuba,SP,41561068,,
Registro,SP,13439755,,
Itanhaém,SP,7468334,,
Osasco,SP,264656096,,
Franco da Rocha,SP,15950359,,
Guarulhos,SP,110281862,,
Itapecerica da Serra,SP,60924729,,
São Paulo,SP,1250524791,,
Mogi das Cruzes,SP,70262409,,
Santos,SP,91786317,,
Paranavaí,PR,12684107,,
Umuarama,PR,12456211,,
Cianorte,PR,8169940,,
Goioerê,PR,6800947,,
Campo Mourão,PR,12330837,,
Astorga,PR,10197866,,
Porecatu,PR,3961034,,
Floraí,PR,1964643,,
Maringá,PR,37439518,,
Apucarana,PR,14016502,,
Londrina,PR,44046437,,
Faxinal,PR,1786790,,
Ivaiporã,PR,5007435,,
Assaí,PR,2468535,,
Cornélio Procópio,PR,7861380,,
Jacarezinho,PR,5734630,,
Ibaiti,PR,2691327,,
Wenceslau Braz,PR,4431169,,
Telêmaco Borba,PR,12913945,,
Jaguariaíva,PR,5827654,,
Ponta Grossa,PR,34310725,,
Toledo,PR,27907964,,
Cascavel,PR,29062044,,
Foz do Iguaçu,PR,26540051,,
Capanema,PR,5368237,,
Francisco Beltrão,PR,13427912,,
Pato Branco,PR,13165391,,
Pitanga,PR,2940816,,
Guarapuava,PR,19699185,,
Palmas,PR,5228915,,
Prudentópolis,PR,6210607,,
Irati,PR,5422205,,
União da Vitória,PR,4885736,,
São Mateus do Sul,PR,3092660,,
Cerro Azul,PR,957287,,
Lapa,PR,3039227,,
Curitiba,PR,232672176,,
Paranaguá,PR,20153033,,
Rio Negro,PR,4044085,,
Baixo Pantanal,MS,5179625,,
Aquidauana,MS,3460503,,
Alto Taquari,MS,8604786,,
Campo Grande,MS,50134979,,
Cassilândia,MS,9120698,,
Paranaíba,MS,7838853,,
Três Lagoas,MS,21462119,,
Nova Andradina,MS,7034571,,
Bodoquena,MS,5627067,,
Dourados,MS,50570711,,
Iguatemi,MS,15368207,,
